%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pixels
1637084787568817962,1790,0,,508
1637084787691669483,1791,0,,505
1637084787803453883,1792,0,,507
1637084787925441787,1793,0,,510
1637084788043951659,1794,0,,504
1637084788136679651,1795,0,,509
1637084788247771525,1796,0,,527
1637084788350730442,1797,0,,538
1637084788470372731,1798,0,,563
1637084788586436166,1799,0,,594
1637084788688275614,1800,0,,599
1637084788788447461,1801,0,,612
1637084788913048013,1802,0,,612
1637084789073881359,1803,0,,614
1637084789197553768,1804,0,,614
1637084789310460891,1805,0,,617
1637084789404939508,1806,0,,619
1637084789563600255,1807,0,,614
1637084789666456949,1808,0,,620
1637084789764601153,1809,0,,632
1637084789870541512,1810,0,,654
1637084789973444064,1811,0,,668
1637084790083086758,1812,0,,686
1637084790223201699,1813,0,,710
1637084790383975401,1814,0,,716
1637084790488129687,1815,0,,716
1637084790637497381,1816,0,,724
1637084790750732500,1817,0,,723
1637084790865215097,1818,0,,722
1637084790966721747,1819,0,,721
1637084791063293302,1820,0,,725
1637084791107302208,1821,0,,719
1637084791223696296,1822,0,,725
1637084791345112190,1823,0,,735
1637084791445403458,1824,0,,753
1637084791539396890,1825,0,,774
1637084791643846001,1826,0,,787
1637084791734685933,1827,0,,807
1637084791852784022,1828,0,,816
1637084791997130464,1829,0,,817
1637084792143517917,1830,0,,823
1637084792263118697,1831,0,,828
1637084792399794702,1832,0,,830
1637084792508893996,1833,0,,833
1637084792629950519,1834,0,,839
1637084792733565693,1835,0,,834
1637084792840740540,1836,0,,840
1637084792957305379,1837,0,,863
1637084793139079876,1838,0,,891
1637084793267412231,1839,0,,915
1637084793422186511,1840,0,,925
1637084793550482277,1841,0,,933
1637084793639804678,1842,0,,938
1637084793743510049,1843,0,,940
1637084793853695337,1844,0,,939
1637084793954122191,1845,0,,939
1637084794071372445,1846,0,,939
1637084794235065903,1847,0,,942
1637084794360692704,1848,0,,938
1637084794456744234,1849,0,,954
1637084794552734937,1850,0,,965
1637084794713478053,1851,0,,998
1637084794788751863,1852,0,,1006
1637084794881962428,1853,0,,1017
1637084794953256666,1854,0,,1024
1637084795069337694,1855,0,,1039
1637084795155986944,1856,0,,1040
1637084795240866278,1857,0,,1040
1637084795377411017,1858,0,,1048
1637084795469544276,1859,0,,1046
1637084795574858815,1860,0,,1050
1637084795665036407,1861,0,,1051
1637084795761494694,1862,0,,1051
1637084795895099352,1863,0,,1054
1637084795981434146,1864,0,,1050
1637084796084295964,1865,0,,1075
1637084796177130837,1866,0,,1086
1637084796326902612,1867,0,,1121
1637084796415093733,1868,0,,1139
1637084796488357514,1869,0,,1148
1637084796552374333,1870,0,,1153
