%time,field.header.seq,field.header.stamp,field.header.frame_id,time,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1.58253878432652E+018,3033,1.58253878426998E+018,,90.58854016,187.725372314,169.115936279,0.665427803993,371.656066895,248.539428711
1.58253878437307E+018,3034,1.58253878430567E+018,,90.624222976,189.715118408,169.161575317,0.592862010002,370.443267822,247.861816406
1.58253878440869E+018,3035,1.58253878433854E+018,,90.657098752,186.41583252,162.654571533,0.470819860697,371.411682129,247.818206787
1.5825387844386E+018,3036,1.58253878437009E+018,,90.688643072,190.174911499,165.521774292,0.676249861717,370.691467285,247.162887573
1.58253878447216E+018,3037,1.58253878440166E+018,,90.720219904,194.503158569,163.557235718,0.421945124865,366.234375,245.179397583
1.58253878450717E+018,3038,1.5825387844373E+018,,90.755855872,190.607192993,163.130584717,0.478539288044,367.236114502,243.935836792
1.58253878454467E+018,3039,1.58253878446899E+018,,90.787542016,191.096847534,165.264022827,0.473624676466,365.99786377,244.167541504
1.58253878457425E+018,3040,1.58253878450659E+018,,90.825151232,195.102508545,164.133560181,0.280563890934,364.909423828,244.286972046
1.58253878461232E+018,3041,1.58253878453925E+018,,90.857807872,196.733642578,163.571029663,0.331953704357,363.5027771,244.675292969
1.58253878463877E+018,3042,1.58253878457129E+018,,90.889843456,195.554656982,167.325195312,0.305054843426,364.08493042,246.561065674
1.58253878465521E+018,3043,1.58253878461162E+018,,90.930174976,197.128082275,166.359939575,0.462518781424,365.131439209,245.563858032
1.58253878467751E+018,3044,1.58253878464905E+018,,90.9676032,191.561645508,167.360305786,0.375181734562,363.963348389,244.48664856
1.58253878472563E+018,3045,1.58253878467199E+018,,90.990547456,196.305328369,164.809341431,0.316074877977,363.147216797,244.281097412
1.58253878474925E+018,3046,1.58253878470527E+018,,91.023830784,195.282943726,166.692138672,0.19082428515,364.654052734,246.533889771
1.58253878478558E+018,3047,1.58253878474048E+018,,91.059032832,194.855865479,162.096496582,0.31633746624,365.934020996,244.084609985
1.58253878480492E+018,3048,1.58253878477258E+018,,91.091136,191.305236816,161.355194092,0.363036930561,366.610046387,243.782272339
1.58253878483933E+018,3049,1.58253878480468E+018,,91.12323328,193.205688477,158.275268555,0.318975716829,364.021270752,242.997756958
1.58253878487472E+018,3050,1.58253878483813E+018,,91.156689664,190.285171509,158.503723145,0.497735083103,364.358154297,242.442626953
1.58253878490999E+018,3051,1.58253878487324E+018,,91.191795968,194.114440918,161.833969116,0.359888792038,363.017730713,244.530990601
1.58253878494135E+018,3052,1.58253878490456E+018,,91.22311168,197.409576416,162.135940552,0.25699198246,363.194030762,244.592391968
1.58253878497312E+018,3053,1.58253878493722E+018,,91.25577984,195.45123291,162.602005005,0.403526574373,365.354827881,244.570617676
1.58253878499656E+018,3054,1.5825387849712E+018,,91.289751296,193.907455444,161.051818848,0.418531864882,364.226867676,243.914916992
1.58253878503824E+018,3055,1.58253878500309E+018,,91.321645312,194.874588013,162.234100342,0.42042657733,364.402282715,244.168869019
1.58253878508709E+018,3056,1.58253878503847E+018,,91.357027072,195.064086914,161.889312744,0.321732491255,363.299285889,244.913314819
1.58253878512215E+018,3057,1.58253878507018E+018,,91.388733184,195.103103638,158.326705933,0.400104939938,367.478240967,243.320159912
1.58253878515988E+018,3058,1.58253878510542E+018,,91.423981056,193.847732544,159.435058594,0.360641151667,368.061798096,243.045562744
1.58253878518293E+018,3059,1.58253878514362E+018,,91.462177536,190.636856079,158.705871582,0.42718103528,367.13104248,243.603256226
1.58253878522135E+018,3060,1.5825387851772E+018,,91.495753472,183.764602661,162.27532959,0.339692980051,368.216918945,243.51272583
1.58253878525783E+018,3061,1.5825387852023E+018,,91.520860928,188.295074463,164.229400635,0.297330349684,364.280517578,245.178909302
1.58253878528636E+018,3062,1.582538785236E+018,,91.554552576,192.960922241,163.429534912,0.449253559113,363.167114258,243.901412964
1.58253878531656E+018,3063,1.58253878527341E+018,,91.591962368,192.800521851,162.948059082,0.405044823885,363.224731445,244.661056519
1.58253878534497E+018,3064,1.58253878530318E+018,,91.621731584,191.252639771,160.422058105,0.406573742628,362.940582275,245.737335205
1.58253878536923E+018,3065,1.58253878533999E+018,,91.658549504,196.84072876,161.199401855,0.291800171137,361.131072998,245.26234436
1.58253878542985E+018,3066,1.58253878537777E+018,,91.696329984,191.46333313,157.311813354,0.529918968678,365.876556396,245.222183228
