%time,field.header.stamp,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1.63093912956175E+018,1.63093912954684E+018,67.9663848877,50.5606956482,0.217193573713,395.175079346,241.244674683,60.693359375
1.63093912960345E+018,1.63093912958614E+018,83.4247512817,54.7076759338,-0.239293947816,394.373321533,245.667999268,60.8125038147
1.6309391296344E+018,1.63093912961794E+018,76.707244873,51.3219451904,-0.0765279307961,398.526153564,244.62840271,60.8404083252
1.63093912967677E+018,1.63093912965365E+018,75.9214096069,72.9059143066,0.86516648531,395.938049316,241.076309204,61.7787094116
1.630939129702E+018,1.63093912968573E+018,74.5863189697,55.0922660828,0.00606242008507,394.821960449,238.554168701,62.0287094116
1.63093912973387E+018,1.63093912971791E+018,83.7352905273,60.6303520203,0.184343084693,393.261810303,239.605209351,61.9454193115
1.6309391297715E+018,1.63093912975373E+018,65.2711791992,54.7584648132,-0.399124503136,397.828063965,245.637786865,58.8175125122
1.63093912980078E+018,1.63093912978567E+018,86.0572280884,59.4379615784,-0.439769536257,390.466796875,250.09992981,59.0636978149
1.63093912984169E+018,1.63093912981799E+018,68.861328125,47.7617263794,-0.0476346313953,394.304962158,242.922058105,59.0636978149
1.63093912987445E+018,1.63093912985395E+018,88.8455123901,50.9864082336,-0.110405340791,394.945770264,243.77911377,58.8003425598
1.63093912990774E+018,1.63093912988548E+018,95.7854309082,48.3941917419,0.0397064015269,393.964630127,242.651184082,58.8003425598
1.63093912992783E+018,1.63093912991318E+018,0,0,0,0,0,58.8003425598
1.6309391299611E+018,1.63093912994676E+018,0,0,0,0,0,58.8003425598
1.6309391299992E+018,1.63093912997864E+018,154.24887085,83.3576431274,-0.584635794163,383.384887695,240.722457886,59.7184677124
1.63093913002715E+018,1.63093913001086E+018,113.764945984,68.9282531738,-0.821183562279,380.619842529,251.892318726,60.0469017029
1.63093913006652E+018,1.63093913004657E+018,77.9630661011,69.7810516357,-1.00832521915,386.679168701,243.908065796,59.9836807251
1.63093913009226E+018,1.63093913007854E+018,116.103752136,102.305023193,-0.166973277926,383.278198242,243.877548218,62.304977417
1.63093913013242E+018,1.63093913011685E+018,75.2513275146,55.6168479919,0.752543032169,388.213439941,238.433364868,62.0741195679
1.63093913016722E+018,1.63093913015271E+018,62.5573310852,49.9150123596,0.75990241766,396.366271973,242.221801758,62.0741195679
1.63093913020008E+018,1.63093913018491E+018,76.9159927368,62.5689544678,0.65469622612,390.005371094,244.042282104,62.2554664612
1.63093913023575E+018,1.63093913021696E+018,107.002761841,77.683265686,0.252711892128,396.85144043,238.146316528,63.2551612854
1.63093913026796E+018,1.63093913025295E+018,61.17420578,57.5650520325,0.692030370235,390.992889404,244.544158936,63.2766799927
1.63093913030213E+018,1.63093913028538E+018,63.6960449219,48.1573524475,1.22371315956,399.2215271,244.79309082,63.2766799927
1.63093913033555E+018,1.63093913031837E+018,53.1003952026,45.976436615,0.860622346401,397.266906738,243.253372192,63.2766799927
1.63093913036287E+018,1.63093913034909E+018,52.8567123413,45.9399642944,0.599947988987,396.761932373,241.69694519,63.2766799927
1.63093913039256E+018,1.6309391303789E+018,58.7348518372,45.5869789124,0.541016221046,394.736938477,235.827560425,63.2766799927
1.63093913043268E+018,1.6309391304172E+018,48.5390090942,47.8972015381,0.146100744605,394.082000732,241.254226685,63.2766799927
1.6309391304682E+018,1.63093913045334E+018,57.9150466919,52.8356819153,0.470847666264,389.743865967,241.313186646,62.8243751526
1.63093913050037E+018,1.63093913048531E+018,53.1301116943,45.6631660461,0.686341643333,394.661407471,241.655426025,62.8243751526
1.63093913052576E+018,1.63093913051098E+018,68.6216201782,52.6518096924,-1.1010453701,389.950683594,247.846923828,62.94581604
1.63093913057529E+018,1.63093913055394E+018,64.7333831787,54.1989059448,1.07964682579,392.835845947,244.766540527,62.3947067261
1.63093913060443E+018,1.63093913058537E+018,66.0725708008,46.5876197815,0.703375458717,400.725006104,244.61164856,62.3947067261
1.63093913063682E+018,1.63093913062117E+018,64.2330627441,53.708152771,0.857314944267,395.452514648,248.174331665,62.5520820618
1.630939130668E+018,1.63093913065315E+018,65.0438156128,50.6367225647,0.798048973083,399.463928223,241.115966797,62.3485336304
1.63093913069985E+018,1.63093913068493E+018,58.8160018921,44.5507698059,0.877702236176,399.174285889,245.543319702,62.3485336304
1.63093913074218E+018,1.63093913072142E+018,88.2884979248,43.430519104,0.936441719532,403.702362061,251.415267944,62.3485336304
1.63093913076858E+018,1.63093913075333E+018,0,0,0,0,0,62.3485336304
1.630939130797E+018,1.63093913077855E+018,0,0,0,0,0,62.3485336304
1.63093913082927E+018,1.63093913081551E+018,113.718574524,73.6289596558,1.4498333931,407.234649658,252.342666626,63.463886261
1.63093913086427E+018,1.63093913084729E+018,120.334342957,70.0736923218,-1.56217336655,401.216827393,262.143707275,63.3222732544
1.63093913089403E+018,1.63093913087947E+018,104.714630127,64.4820251465,-0.575304448605,392.789978027,249.610824585,63.7917633057
1.63093913092797E+018,1.6309391309146E+018,97.0046081543,64.0452728271,0.238080069423,412.089050293,250.687805176,63.9625091553
1.63093913096324E+018,1.63093913094833E+018,88.6995010376,58.9619827271,0.298986047506,410.516998291,250.022384644,64.1726837158
1.63093913099604E+018,1.63093913098139E+018,76.662727356,58.44688797,-0.189274460077,393.21395874,243.58821106,64.1231307983
1.6309391310318E+018,1.63093913101724E+018,84.8414459229,54.6919631958,-0.208083435893,399.804412842,243.335647583,64.3084106445
1.63093913107277E+018,1.63093913105457E+018,76.5166320801,57.969871521,0.242924496531,400.481719971,240.831756592,63.0390205383
1.63093913110241E+018,1.63093913108515E+018,74.6261901855,55.4512710571,0.244645565748,403.748748779,240.275253296,62.3651695251
1.63093913113759E+018,1.630939131122E+018,77.9551086426,58.8178710938,0.200707271695,402.386688232,246.432022095,61.8170089722
1.63093913116232E+018,1.63093913114713E+018,81.6030044556,57.3267021179,-0.236557409167,403.0887146,246.178817749,59.5680961609
