%time,field.header.stamp,field.speed,field.vx,field.vy,field.vz
1.63093916508216E+018,1.63093916503036E+018,0.00910000037402,0.000790000020061,0.00908000022173,7.00E-05
1.63093916513355E+018,1.6309391650819E+018,0.00079999997979,-0.000390000001062,0.000709999992978,-3.00E-05
1.63093916518509E+018,1.63093916513327E+018,0.00510000018403,0.00150999997277,-0.00485000014305,0.00034999998752
1.63093916523752E+018,1.63093916518519E+018,0.0093999998644,-0.00101999996696,-0.00934999994934,0.000289999996312
1.63093916534016E+018,1.63093916523744E+018,0.0115000000224,-0.000639999983832,-0.011429999955,0.000300000014249
1.6309391653928E+018,1.63093916534007E+018,0.0115999998525,-0.000980000011623,-0.0115200001746,9.00E-05
1.63093916544532E+018,1.63093916539308E+018,0.0103000001982,-0.000969999993686,-0.0102899996564,1.00E-04
1.63093916549776E+018,1.63093916544552E+018,0.0116999996826,-0.000150000007125,-0.0116699999198,1.00E-05
1.63093916555049E+018,1.63093916549791E+018,0.0111999996006,-0.000639999983832,-0.0112199997529,-0.000339999998687
1.63093916560334E+018,1.63093916555067E+018,0.0109000001103,6.00E-05,-0.0109099997208,-0.000520000001416
1.63093916565592E+018,1.63093916560299E+018,0.0116999996826,-0.000399999989895,-0.0117100002244,-0.000260000000708
1.63093916570781E+018,1.63093916565556E+018,0.0104999998584,-0.000360000005458,-0.0104999998584,-3.00E-05
1.63093916575985E+018,1.63093916570755E+018,0.0116999996826,-0.000250000011874,-0.0116800004616,-0.000190000006114
1.63093916586373E+018,1.63093916576003E+018,0.0108000002801,-0.000530000019353,-0.0108300000429,1.00E-05
1.63093916591493E+018,1.63093916586341E+018,0.0109000001103,-0.000280000007479,-0.0109000001103,-2.00E-05
1.63093916596696E+018,1.63093916591479E+018,0.00920000020415,-0.000950000016019,-0.00918999966234,-8.00E-05
1.6309391660693E+018,1.63093916596704E+018,0.0046999999322,0.00101999996696,-0.00459000002593,1.00E-05
1.63093916612177E+018,1.63093916606943E+018,0.0038999998942,-0.000390000001062,0.00384999997914,-0.000220000001718
1.63093916617419E+018,1.63093916612183E+018,0.0110999997705,0.000809999997728,0.0110700000077,-0.000429999985499
1.63093916622542E+018,1.63093916617347E+018,0.0133999995887,0.000790000020061,0.0134100001305,-0.00034999998752
1.63093916627658E+018,1.63093916622519E+018,0.0104999998584,0.000669999979436,0.0104499999434,2.00E-05
1.63093916632821E+018,1.63093916627666E+018,0.0115000000224,0.000850000011269,0.0114700002596,0.000130000000354
1.63093916637965E+018,1.63093916632797E+018,0.0105999996886,0.000429999985499,0.0105600003153,-1.00E-05
1.6309391664323E+018,1.63093916637968E+018,0.0115000000224,0.000429999985499,0.0115299997851,0
1.63093916648473E+018,1.63093916643201E+018,0.0114000001922,-2.00E-05,0.0114200003445,0.000709999992978
1.63093916653732E+018,1.63093916648503E+018,0.0110999997705,0.000269999989541,0.0110499998555,0.000280000007479
1.63093916659066E+018,1.6309391665374E+018,0.0108000002801,0.000339999998687,0.0108399996534,5.00E-05
1.63093916664377E+018,1.63093916659097E+018,0.0110999997705,0.000250000011874,0.0111400000751,3.00E-05
1.63093916669621E+018,1.63093916664347E+018,0.0109000001103,0.000319999991916,0.0108700003475,0.000119999996969
1.63093916674728E+018,1.6309391666959E+018,0.0110999997705,0.000399999989895,0.0110799996182,0
1.63093916680026E+018,1.63093916674735E+018,0.01070000045,0.000630000024103,0.0106800002977,-8.00E-05
1.63093916685281E+018,1.63093916679984E+018,0.00820000004023,0.000829999975394,0.00817999988794,0.000169999999343
1.63093916695582E+018,1.63093916685307E+018,0.00109999999404,0.000169999999343,0.00110999995377,2.00E-05
1.63093916700821E+018,1.63093916695546E+018,0.00669999979436,-0.000169999999343,-0.00667000003159,0.000339999998687
1.63093916706052E+018,1.63093916700782E+018,0.0115000000224,-0.000380000012228,-0.0115099996328,0.000209999998333
1.63093916711292E+018,1.63093916706017E+018,0.0119000002742,-0.00118999998085,-0.0118599999696,0.000319999991916
1.63093916721583E+018,1.63093916711258E+018,0.0115000000224,-0.000660000019707,-0.0115200001746,-1.00E-05
1.63093916726874E+018,1.63093916721596E+018,0.0110999997705,-0.000750000006519,-0.0110700000077,0
1.63093916732121E+018,1.63093916726841E+018,0.01070000045,-0.000300000014249,-0.0107399998233,-0.000269999989541
1.63093916737349E+018,1.63093916732088E+018,0.0115000000224,-0.000269999989541,-0.0115200001746,-0.000509999983478
1.63093916742617E+018,1.63093916737316E+018,0.0108000002801,-0.000130000000354,-0.0108000002801,-0.000269999989541
1.63093916752797E+018,1.6309391674257E+018,0.0116999996826,-0.000269999989541,-0.0116499997675,-1.00E-04
1.63093916758074E+018,1.6309391675281E+018,0.0109000001103,-0.000419999996666,-0.0109000001103,-7.00E-05
1.63093916763305E+018,1.63093916758045E+018,0.0109000001103,-0.000300000014249,-0.0109200002626,-7.00E-05
1.63093916768575E+018,1.63093916763273E+018,0.0114000001922,-0.000579999992624,-0.0113500002772,7.00E-05
1.63093916773863E+018,1.63093916768529E+018,0.00850000046194,-0.000730000028852,-0.00841999985278,-0.000119999996969
1.63093916779139E+018,1.63093916773832E+018,0.00380000006407,0.00110999995377,-0.00364000000991,4.00E-05
1.63093916784392E+018,1.63093916779114E+018,0.000600000028498,-0.000289999996312,0.00044999999227,-0.000190000006114
1.63093916789579E+018,1.63093916784343E+018,0.00740000000224,-2.00E-05,0.00742000015453,-0.000300000014249
1.63093916794825E+018,1.63093916789592E+018,0.0109999999404,0.000560000014957,0.0109500000253,-0.000399999989895
1.63093916805069E+018,1.63093916794838E+018,0.0137000000104,0.000869999988936,0.0136500000954,-0.000239999993937
1.63093916810424E+018,1.63093916805084E+018,0.0108000002801,0.000739999988582,0.0107300002128,3.00E-05
1.63093916815654E+018,1.63093916810389E+018,0.0114000001922,0.000319999991916,0.0113800000399,-2.00E-05
1.63093916820888E+018,1.6309391681562E+018,0.0104999998584,0.000390000001062,0.0105100004002,-0.000119999996969
1.63093916826106E+018,1.63093916820849E+018,0.0115000000224,-9.00E-05,0.0115299997851,0.000730000028852
1.63093916831342E+018,1.63093916826068E+018,0.0113000003621,0.000199999994948,0.0113199995831,0.000280000007479
1.63093916841597E+018,1.63093916831312E+018,0.01070000045,0.000250000011874,0.0106800002977,9.00E-05
1.6309391684671E+018,1.63093916841543E+018,0.0108000002801,0.000440000003437,0.0107399998233,9.00E-05
1.63093916851934E+018,1.63093916846713E+018,0.0115999998525,0.000280000007479,0.0115599995479,-6.00E-05
1.63093916862104E+018,1.63093916851949E+018,0.0109999999404,0.000250000011874,0.0109500000253,5.00E-05
1.63093916867215E+018,1.63093916862084E+018,0.00340000004508,0.000360000005458,0.00334999989718,-1.00E-05
1.63093916872453E+018,1.63093916867237E+018,0.00490000005811,0.0012300000526,-0.00476999999955,0.000469999999041
1.63093916877625E+018,1.63093916872433E+018,0.00980000011623,-0.00168999994639,-0.00961000006646,0.000230000005104
