%time,time,field.X,field.Y,field.Z,field.A,field.B,field.C,%time,field.Vx,field.Vy,field.Vz,field.Speed
1.6388883722023E+018,28.363521024,1205.05871582,-1921.1270752,1230.27270508,0.00879999995232,-0.517899990082,179.277801514,1.63888837220234E+018,15.2169179916,0.0752071738243,0.150414347649,15.2178468704
1.63888837220634E+018,28.367556864,1205.12023926,-1921.12744141,1230.2734375,0.00879999995232,-0.517899990082,179.277801514,1.63888837220636E+018,15.5691509247,-0.0759470760822,0.177209854126,15.5703449249
1.63888837221042E+018,28.371636736,1205.1809082,-1921.12658691,1230.27331543,0.00899999961257,-0.517799973488,179.277801514,1.63888837221045E+018,14.9708490372,0.197309374809,-0.0246636718512,14.9721689224
1.63888837221435E+018,28.375569664,1205.24157715,-1921.12634277,1230.27380371,0.00910000037402,-0.517799973488,179.277694702,1.63888837221448E+018,15.0132236481,0.0742004513741,0.123667411506,15.0139169693
1.63888837221838E+018,28.379596032,1205.30175781,-1921.12609863,1230.2746582,0.00930000003427,-0.517799973488,179.277694702,1.63888837221839E+018,15.2778549194,0.0507569909096,0.228406459093,15.2796459198
1.63888837222236E+018,28.38357888,1205.36083984,-1921.12646484,1230.2755127,0.00930000003427,-0.517799973488,179.277603149,1.63888837222238E+018,14.624663353,-0.099150262773,0.198300525546,14.6263446808
1.63888837222629E+018,28.3875072,1205.42211914,-1921.12597656,1230.27600098,0.00949999969453,-0.517799973488,179.277603149,1.63888837222632E+018,15.3416576385,0.125135868788,0.125135868788,15.3426780701
1.6388883722304E+018,28.391612672,1205.48278809,-1921.12561035,1230.27624512,0.00960000045598,-0.517799973488,179.277603149,1.6388883722304E+018,15.4458684921,0.101784966886,0.050892483443,15.4462881088
1.6388883722344E+018,28.395621376,1205.5435791,-1921.12536621,1230.27636719,0.00980000011623,-0.517799973488,179.277603149,1.63888837223442E+018,14.8203449249,0.0487511344254,0.0487511344254,14.8205060959
1.6388883722383E+018,28.399514624,1205.60510254,-1921.12487793,1230.27685547,0.00989999994636,-0.517799973488,179.277603149,1.63888837223832E+018,15.4627561569,0.125713467598,0.125713467598,15.4637784958
1.63888837224235E+018,28.40356352,1205.6652832,-1921.12475586,1230.27709961,0.00989999994636,-0.517799973488,179.277603149,1.63888837224236E+018,15.2529363632,0.0253371018916,0.0506742037833,15.2530412674
1.63888837224631E+018,28.407529216,1205.72631836,-1921.12451172,1230.27758789,0.00999999977648,-0.517799973488,179.277496338,1.63888837224633E+018,15.1257781982,0.074389077723,0.123981788754,15.1264696121
1.63888837225027E+018,28.41149184,1205.78381348,-1921.12512207,1230.2779541,0.00999999977648,-0.517799973488,179.277496338,1.63888837225031E+018,14.5144729614,-0.151455372572,0.100970245898,14.5156145096
