%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z,field.R,field.P,field.Y
1635842893967454820,24692,0,,-1.92548370361,-0.0336637012661,0.518694460392,0.0,0.0,0.0
1635842893975185601,24693,0,,-1.92548370361,-0.0336637012661,0.518694460392,0.0,0.0,0.0
1635842893983206543,24694,0,,-1.92549777031,-0.0340094566345,0.518685102463,0.0,0.0,0.0
1635842893991105954,24695,0,,-1.92549777031,-0.0340094566345,0.518685102463,0.0,0.0,0.0
1635842893999067626,24696,0,,-1.92549777031,-0.0340094566345,0.518685102463,0.0,0.0,0.0
1635842894007035729,24697,0,,-1.92549777031,-0.0340094566345,0.518685102463,0.0,0.0,0.0
1635842894015349730,24698,0,,-1.92549777031,-0.0340094566345,0.518685102463,0.0,0.0,0.0
1635842894023539725,24699,0,,-1.92549777031,-0.0340094566345,0.518685102463,0.0,0.0,0.0
1635842894031434133,24700,0,,-1.92550480366,-0.034343637526,0.51867890358,0.0,0.0,0.0
1635842894039365006,24701,0,,-1.92550480366,-0.034343637526,0.51867890358,0.0,0.0,0.0
1635842894047350993,24702,0,,-1.92550480366,-0.034343637526,0.51867890358,0.0,0.0,0.0
1635842894055196529,24703,0,,-1.92550480366,-0.034343637526,0.51867890358,0.0,0.0,0.0
1635842894063216288,24704,0,,-1.92550480366,-0.034343637526,0.51867890358,0.0,0.0,0.0
1635842894071146887,24705,0,,-1.92550480366,-0.034343637526,0.51867890358,0.0,0.0,0.0
1635842894079073532,24706,0,,-1.92550814152,-0.0344686619937,0.518674135208,0.0,0.0,0.0
1635842894087204448,24707,0,,-1.92550814152,-0.0344686619937,0.518674135208,0.0,0.0,0.0
1635842894095082799,24708,0,,-1.92550814152,-0.0344686619937,0.518674135208,0.0,0.0,0.0
1635842894103030835,24709,0,,-1.92550814152,-0.0344686619937,0.518674135208,0.0,0.0,0.0
1635842894111110532,24710,0,,-1.92550814152,-0.0344686619937,0.518674135208,0.0,0.0,0.0
1635842894119092758,24711,0,,-1.92551088333,-0.034480035305,0.518672943115,0.0,0.0,0.0
1635842894127174966,24712,0,,-1.92551088333,-0.034480035305,0.518672943115,0.0,0.0,0.0
1635842894135234488,24713,0,,-1.92551088333,-0.034480035305,0.518672943115,0.0,0.0,0.0
1635842894143091924,24714,0,,-1.92551088333,-0.034480035305,0.518672943115,0.0,0.0,0.0
1635842894151092404,24715,0,,-1.92551088333,-0.034480035305,0.518672943115,0.0,0.0,0.0
1635842894159127720,24716,0,,-1.92551088333,-0.034480035305,0.518672943115,0.0,0.0,0.0
1635842894167170905,24717,0,,-1.9254771471,-0.034479983151,0.518669009209,0.0,0.0,0.0
1635842894175117233,24718,0,,-1.9254771471,-0.034479983151,0.518669009209,0.0,0.0,0.0
1635842894183150453,24719,0,,-1.9254771471,-0.034479983151,0.518669009209,0.0,0.0,0.0
1635842894191044271,24720,0,,-1.9254771471,-0.034479983151,0.518669009209,0.0,0.0,0.0
1635842894199131835,24721,0,,-1.9254771471,-0.034479983151,0.518669009209,0.0,0.0,0.0
1635842894207141831,24722,0,,-1.92503154278,-0.0344749689102,0.518701434135,0.0,0.0,0.0
1635842894215179269,24723,0,,-1.92503154278,-0.0344749689102,0.518701434135,0.0,0.0,0.0
1635842894223392864,24724,0,,-1.92503154278,-0.0344749689102,0.518701434135,0.0,0.0,0.0
1635842894231382815,24725,0,,-1.92503154278,-0.0344749689102,0.518701434135,0.0,0.0,0.0
1635842894239329821,24726,0,,-1.92503154278,-0.0344749689102,0.518701434135,0.0,0.0,0.0
1635842894247490059,24727,0,,-1.92503154278,-0.0344749689102,0.518701434135,0.0,0.0,0.0
1635842894255200307,24728,0,,-1.92402541637,-0.0344718433917,0.518840551376,0.0,0.0,0.0
1635842894263299563,24729,0,,-1.92402541637,-0.0344718433917,0.518840551376,0.0,0.0,0.0
1635842894271131448,24730,0,,-1.92402541637,-0.0344718433917,0.518840551376,0.0,0.0,0.0
1635842894279134012,24731,0,,-1.92402541637,-0.0344718433917,0.518840551376,0.0,0.0,0.0
1635842894287082941,24732,0,,-1.92402541637,-0.0344718433917,0.518840551376,0.0,0.0,0.0
1635842894295083587,24733,0,,-1.92282986641,-0.0344746597111,0.518959462643,0.0,0.0,0.0
1635842894303099323,24734,0,,-1.92282986641,-0.0344746597111,0.518959462643,0.0,0.0,0.0
1635842894311109256,24735,0,,-1.92282986641,-0.0344746597111,0.518959462643,0.0,0.0,0.0
1635842894319171324,24736,0,,-1.92282986641,-0.0344746597111,0.518959462643,0.0,0.0,0.0
1635842894327192363,24737,0,,-1.92282986641,-0.0344746597111,0.518959462643,0.0,0.0,0.0
1635842894335127683,24738,0,,-1.92282986641,-0.0344746597111,0.518959462643,0.0,0.0,0.0
1635842894343156732,24739,0,,-1.92167186737,-0.0344843864441,0.518919110298,0.0,0.0,0.0
1635842894351151617,24740,0,,-1.92167186737,-0.0344843864441,0.518919110298,0.0,0.0,0.0
1635842894359154336,24741,0,,-1.92167186737,-0.0344843864441,0.518919110298,0.0,0.0,0.0
1635842894367175800,24742,0,,-1.92167186737,-0.0344843864441,0.518919110298,0.0,0.0,0.0
1635842894375185945,24743,0,,-1.92167186737,-0.0344843864441,0.518919110298,0.0,0.0,0.0
1635842894383309894,24744,0,,-1.92167186737,-0.0344843864441,0.518919110298,0.0,0.0,0.0
1635842894391199993,24745,0,,-1.92040407658,-0.0344949476421,0.518897771835,0.0,0.0,0.0
1635842894399194979,24746,0,,-1.92040407658,-0.0344949476421,0.518897771835,0.0,0.0,0.0
1635842894407199064,24747,0,,-1.92040407658,-0.0344949476421,0.518897771835,0.0,0.0,0.0
1635842894415274181,24748,0,,-1.92040407658,-0.0344949476421,0.518897771835,0.0,0.0,0.0
1635842894423257047,24749,0,,-1.92040407658,-0.0344949476421,0.518897771835,0.0,0.0,0.0
1635842894431307708,24750,0,,-1.92040407658,-0.0344949476421,0.518897771835,0.0,0.0,0.0
1635842894439223144,24751,0,,-1.91942024231,-0.0344962254167,0.518879652023,0.0,0.0,0.0
1635842894447186454,24752,0,,-1.91942024231,-0.0344962254167,0.518879652023,0.0,0.0,0.0
