field.header.stamp,time,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,,field.header.stamp,time,field.value,,field.header.stamp,field.speed,field.vx,field.vy,field.vz
1.59162378502205E+018,236.249101824,113.100906372,104.928588867,-0.162889182568,393.90222168,248.994308472,,1.59162378498473E+018,236.244165888,3.20000004768,,,,,,
1.59162378505448E+018,236.28152832,110.025161743,105.225158691,-0.0827163159847,393.379577637,248.531188965,,1.59162378502205E+018,236.281491712,3.20000004768,,,,,,
1.59162378508666E+018,236.313705216,110.061683655,104.63079071,-0.14661860466,393.090148926,248.08581543,,1.59162378505448E+018,236.313918208,3.20000004768,,,,,,
1.59162378512305E+018,236.350097152,108.818954468,103.479743958,-0.235051125288,392.923461914,248.25668335,,1.59162378508666E+018,236.346095104,3.20000004768,,,,,,
1.59162378515387E+018,236.380924672,107.377731323,102.342475891,-0.126699090004,392.568054199,248.919189453,,1.59162378512305E+018,236.38248704,3.20000004768,,,,,,
1.59162378518646E+018,236.413508864,107.522117615,101.571861267,-0.0479384958744,392.352325439,248.863082886,,1.59162378515387E+018,236.41331456,3.20000004768,,,,,,
1.59162378522021E+018,236.447258624,108.721923828,101.246940613,0.261497527361,392.407440186,249.188842773,,1.59162378518646E+018,236.445898752,3.20000004768,,,,,,
1.59162378525211E+018,236.479157504,107.325302124,102.244995117,0.193853497505,392.880584717,249.498855591,,1.59162378522021E+018,236.479648512,3.20000004768,,,,,,
1.59162378529703E+018,236.524079872,109.514717102,98.4672241211,0.0785418152809,392.335693359,249.281387329,,1.59162378525211E+018,236.511547392,3.20000004768,,,,,,
1.59162378532083E+018,236.54787968,110.602684021,94.3273773193,0.128249183297,391.682922363,247.062942505,,1.59162378529703E+018,236.55646976,3.20000004768,,,,,,
1.59162378535994E+018,236.58699392,112.289199829,89.4764328003,0.0638398304582,391.296478271,245.742828369,,1.59162378532083E+018,236.580269568,3.20000004768,,,,,,
1.59162378538672E+018,236.6137728,117.154853821,88.4825973511,0.0487732663751,391.003326416,246.007736206,,1.59162378535994E+018,236.619383808,3.20000004768,,,,,,
1.5916237854175E+018,236.644547584,119.621383667,94.6530532837,-0.0350211001933,390.635040283,246.315185547,,1.59162378538672E+018,236.646162688,3.20000004768,,,,,,
1.59162378545042E+018,236.677472512,119.908859253,94.1820755005,-0.188068315387,387.917755127,247.977127075,,1.5916237854175E+018,236.676937472,3.20000004768,,,,,,
1.59162378548881E+018,236.715858176,124.788917542,95.2404022217,-0.375536859035,386.395782471,249.231735229,,1.59162378545042E+018,236.7098624,3.20000004768,,,,,,
