time,stamps,major_axis,minor_axis,orientation,x,y,minor_axis_average
1.62004609235826E+018,1.62004609234245E+018,72.9034805298,33.7138404846,0.16031883657,338.467895508,310.226013184,101.313240051
1.62004609239622E+018,1.62004609237854E+018,77.8478393555,39.0171279907,0.0578515827656,340.646087646,307.034240723,101.313240051
1.62004609243287E+018,1.62004609241046E+018,106.121101379,37.6192054749,0.0359552055597,339.787719727,295.321472168,101.313240051
1.6200460924568E+018,1.62004609244264E+018,119.868759155,39.3540039062,0.02086786367,343.516998291,284.171020508,101.313240051
1.62004609249286E+018,1.62004609247831E+018,135.289581299,36.9317169189,0.0143027734011,340.802276611,278.575775146,101.313240051
1.62004609252501E+018,1.62004609251042E+018,153.29838562,37.1845092773,-0.0162147898227,342.991424561,268.784240723,101.313240051
1.62004609255687E+018,1.62004609254232E+018,173.203079224,41.3212089539,-0.0706134513021,339.282440186,259.619628906,101.313240051
1.6200460925919E+018,1.62004609257785E+018,181.109344482,43.109588623,-0.0957306548953,335.311401367,255.231887817,101.313240051
1.62004609262263E+018,1.62004609260419E+018,182.059951782,42.8047218323,-0.0970378667116,338.702301025,243.217636108,101.313240051
1.62004609265632E+018,1.62004609264133E+018,152.832138062,42.2221794128,-0.093202650547,352.634765625,231.353561401,101.313240051
1.62004609269257E+018,1.62004609267822E+018,132.418334961,45.1012191772,-0.0524718649685,352.275787354,226.904571533,101.313240051
1.62004609272012E+018,1.62004609270419E+018,98.4635314941,46.4562187195,-0.0923371240497,354.492614746,216.166931152,101.313240051
1.62004609275469E+018,1.62004609274034E+018,72.9066162109,41.9687004089,-0.329879105091,355.832061768,202.964202881,101.313240051
1.62004609278939E+018,1.62004609277243E+018,66.0111618042,43.0439071655,-0.375766307116,362.082000732,197.522796631,101.313240051
1.62004609282627E+018,1.62004609281037E+018,51.278553009,39.4656982422,-0.851133227348,368.207824707,188.602081299,101.313240051
1.62004609285592E+018,1.62004609284027E+018,31.6071720123,27.0988540649,0.395177274942,375.855102539,171.392944336,101.313240051
1.62004609289212E+018,1.6200460928777E+018,28.3606739044,22.3234863281,0.887970328331,381.271453857,165.995529175,101.313240051
1.62004609292227E+018,1.62004609290413E+018,21.8549594879,15.4016151428,-1.5026922226,389.887084961,152.434738159,101.313240051
1.6200460929621E+018,1.62004609294313E+018,6.80612182617,4.7153506279,-0.946273446083,404.408447266,135.971832275,101.313240051
1.62004609298979E+018,1.62004609297486E+018,0,0,0,0,0,101.313240051
1.62004609301957E+018,1.6200460930043E+018,0,0,0,0,0,101.313240051
1.6200460930563E+018,1.6200460930404E+018,0,0,0,0,0,101.313240051
1.62004609309005E+018,1.62004609307475E+018,0,0,0,0,0,101.313240051
