%time,field.header.seq,field.header.stamp,time,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,,field.header.stamp,time,field.value,,field.header.stamp,time,field.speed,field.vx,field.vy,field.vz
1.59161414992702E+018,4205,1.59161414989908E+018,128.987519744,104.200332642,93.6128540039,-0.0713684558868,394.093109131,265.490631104,,1.59161414989908E+018,128.987522048,2.5,,1.59161426398816E+018,243.085419008,0.0186000000685,-0.000959999975748,-0.0185800008476,-2.00E-05
1.59161414995915E+018,4206,1.5916141499348E+018,129.023235072,102.166938782,92.2549438477,-0.265847116709,394.099884033,266.342254639,,1.5916141499348E+018,129.023237376,2.5,,1.59161426404152E+018,243.13878272,0.0215000007302,-0.00144000002183,-0.021420000121,-3.00E-05
1.59161414998225E+018,4207,1.59161414996684E+018,129.055282176,102.41355896,93.1781082153,-0.28741261363,394.484985352,265.681243896,,1.59161414996684E+018,129.05528448,2.5,,1.59161426409372E+018,243.19098112,0.0233999993652,-0.00165999995079,-0.0233399998397,-2.00E-05
1.59161415002144E+018,4208,1.59161414999992E+018,129.088357376,110.915336609,91.9706420898,-0.205767408013,396.486999512,265.600372314,,1.59161414999992E+018,129.08835968,2.5,,1.5916142641464E+018,243.243663104,0.0238000005484,-0.00184000004083,-0.0236900001764,-1.00E-05
1.59161415005269E+018,4209,1.59161415002998E+018,129.118421504,104.383583069,92.2878494263,-0.174133449793,395.223114014,265.394592285,,1.59161415002998E+018,129.118423808,2.5,,1.59161426420933E+018,243.30659072,0.0236000008881,-0.00182000000495,-0.0235200002789,-1.00E-05
1.59161415008781E+018,4210,1.59161415006482E+018,129.153254912,105.209381104,91.6741333008,-0.312512755394,395.043609619,266.251068115,,1.59161415006482E+018,129.153257216,2.5,,1.5916142642789E+018,243.376166144,0.0233999993652,-0.00176999997348,-0.0233100000769,1.00E-05
1.59161415014156E+018,4211,1.5916141500976E+018,129.18603392,105.220077515,93.0726928711,-0.312284141779,395.580993652,266.227966309,,1.5916141500976E+018,129.186036224,2.5,,1.59161426435163E+018,243.448893184,0.0233999993652,-0.00167999998666,-0.0232900008559,2.00E-05
1.59161415016648E+018,4212,1.59161415012934E+018,129.217773056,107.43636322,92.7905502319,-0.272281736135,397.307830811,266.563201904,,1.59161415012934E+018,129.21777536,2.5,,1.59161426441145E+018,243.508712192,0.0232999995351,-0.00164000003133,-0.0232599992305,0
1.59161415021495E+018,4213,1.59161415017825E+018,129.26668928,91.4365310669,69.9869003296,-0.797027528286,391.985321045,258.474090576,,1.59161415017825E+018,129.266691584,2.5,,1.59161426446767E+018,243.564934912,0.0230999998748,-0.00161000003573,-0.0230299998075,2.00E-05
1.59161415023553E+018,4214,1.59161415020736E+018,129.29580032,0,0,0,0,0,,1.59161415020736E+018,129.295802624,2.5,,1.59161426452166E+018,243.618919168,0.0219000000507,-0.00150000001304,-0.0218599997461,-2.00E-05
1.59161415025311E+018,4215,1.59161415023576E+018,129.3241984,0,0,0,0,0,,1.59161415023576E+018,129.324200704,2.5,,1.5916142645751E+018,243.672359936,0.0196000002325,-0.0012300000526,-0.0195499993861,-5.00E-05
1.59161415028662E+018,4216,1.59161415026661E+018,129.355046912,0,0,0,0,0,,1.59161415026661E+018,129.355049216,2.5,,1.5916142646306E+018,243.727865088,0.0165999997407,-0.000739999988582,-0.0165699999779,2.00E-05
1.59161415032634E+018,4217,1.59161415030165E+018,129.39009024,0,0,0,0,0,,1.59161415030165E+018,129.390092544,2.5,,1.59161426469098E+018,243.788240128,0.0137000000104,-0.000140000003739,-0.0137099996209,-4.00E-05
1.59161415035366E+018,4218,1.59161415033288E+018,129.421319424,74.9703063965,73.3586807251,0.939843416214,395.600921631,273.946960449,,1.59161415033288E+018,129.421321728,2.5,,1.59161426474702E+018,243.844280064,0.0104000000283,8.00E-05,-0.0103700002655,-1.00E-05
1.59161415040502E+018,4219,1.59161415037794E+018,129.466380544,105.077606201,86.5252380371,0.523997724056,388.975189209,270.46182251,,1.59161415037794E+018,129.466382848,2.5,,1.59161426481439E+018,243.911657984,0.00540000014007,0.000399999989895,-0.00535000022501,1.00E-05
1.59161415042601E+018,4220,1.59161415039692E+018,129.485355008,105.810813904,89.7999954224,0.590771794319,387.654022217,270.68270874,,1.59161415039692E+018,129.485357312,2.5,,1.59161426492147E+018,244.01873408,0.00170000002254,0.000850000011269,0.0014600000577,1.00E-05
1.59161415047615E+018,4221,1.59161415044348E+018,129.53191424,108.912414551,91.555229187,0.384929567575,382.578369141,269.641906738,,1.59161415044348E+018,129.531916544,2.5,,1.59161426497422E+018,244.07148288,0.00639999983832,0.00118000002112,0.00624000001699,2.00E-05
1.59161415051758E+018,4222,1.59161415048229E+018,129.570726912,111.442092896,95.5034866333,0.383811593056,376.210693359,267.791412354,,1.59161415048229E+018,129.570729216,2.5,,1.59161426506465E+018,244.161910784,0.0114000001922,0.00149000005331,0.0112899998203,3.00E-05
