%time,field.header.seq,field.header.stamp,field.header.frame_id,field.acceleration,field.acceleration_averaged
1635821699351832448,585,1635821699351675987,,-16.1551895142,-2.02584600449
1635821699355714228,586,1635821699355564117,,0.951610028744,-1.06179404259
1635821699359875722,587,1635821699359750032,,41.6635284424,8.40942001343
1635821699363813910,588,1635821699363621950,,-11.0539503098,5.98934793472
1635821699368080458,589,1635821699367757081,,-39.7810783386,-4.87501621246
1635821699371968346,590,1635821699371745109,,0.125379994512,-1.618901968
1635821699375927944,591,1635821699375719070,,3.42228007317,-1.12476801872
1635821699379921345,592,1635821699379730939,,-0.348960012197,-9.52726554871
1635821699383885432,593,1635821699383660078,,25.4508705139,-2.22630190849
1635821699388136780,594,1635821699387808084,,-12.8977603912,3.15036201477
1635821699392131667,595,1635821699391855955,,-7.09014987946,1.70725595951
1635821699396240147,596,1635821699395910978,,-7.47220993042,-0.471641987562
1635821699400447680,597,1635821699400113105,,25.8440494537,4.76696014404
1635821699404578519,598,1635821699404146909,,-17.8491592407,-3.89304590225
1635821699408485860,599,1635821699408061981,,-8.99090003967,-3.11167407036
1635821699412892922,600,1635821699412230014,,-0.479840010405,-1.78961205482
1635821699416785491,601,1635821699416296958,,7.74536991119,1.25390398502
1635821699420938793,602,1635821699420267105,,15.4654302597,-0.821820020676
1635821699424857457,603,1635821699424369096,,-22.5987796783,-1.77174401283
1635821699428888076,604,1635821699428263902,,16.3037605286,3.28718805313
1635821699432942589,605,1635821699432317972,,7.64663982391,4.91248416901
1635821699436739812,606,1635821699436227083,,-31.7719306946,-2.9909760952
1635821699440940624,607,1635821699440310001,,10.4827003479,-3.98752188683
1635821699444789243,608,1635821699444258928,,2.8868598938,1.1096060276
1635821699448798063,609,1635821699448292970,,4.53638982773,-1.24386799335
1635821699452937054,610,1635821699452279090,,-4.89197015762,-3.7515900135
1635821699456835334,611,1635821699456300973,,5.29603004456,3.66200208664
1635821699460709491,612,1635821699460282087,,-18.6631202698,-2.16716194153
