%time,field.header.seq,field.header.stamp,field.header.frame_id,field.absolute_acceleration,field.ax,field.ay,field.az
1591865212283570261,680,1591865212231142044,,0.0289999991655,-0.000310000003083,-0.0290099997073,0.000660000019707
1591865212335859611,681,1591865212283334016,,0.0300999991596,0.00380000006407,-0.0299100000411,2.99999992421e-05
1591865212387418611,682,1591865212335612058,,0.0333999991417,0.0103099998087,-0.0317200012505,-0.00118000002112
1591865212438829992,683,1591865212387455940,,0.0362000018358,0.00829999987036,-0.0352500006557,-0.000159999995958
1591865212541799910,684,1591865212438899993,,0.0460000000894,0.0118599999696,-0.0444200001657,-0.00079999997979
1591865212593669199,685,1591865212541397094,,0.0476000010967,0.0121900001541,-0.0460000000894,0.000360000005458
1591865212646322335,686,1591865212593389987,,0.0456000007689,0.0151899997145,-0.0430000014603,0.00109000003431
1591865212698027777,687,1591865212645807981,,0.0447999984026,0.0162700004876,-0.0416800007224,0.00164000003133
1591865212749724292,688,1591865212697747945,,0.0419000014663,0.0140899997205,-0.0394099988043,0.00118999998085
1591865212801582600,689,1591865212749799013,,0.0445000007749,0.0207199994475,-0.0393799990416,0.000859999970999
1591865212852846256,690,1591865212801395893,,0.0449000000954,0.0203099995852,-0.0400799997151,0.000750000006519
1591865212905281842,691,1591865212852890968,,0.0447999984026,0.015890000388,-0.0418800003827,0.00205000001006
1591865212957151932,692,1591865212905055999,,0.0439999997616,0.0161499995738,-0.0409100018442,0.00185999996029
1591865213009766746,693,1591865212957205057,,0.0439999997616,0.018789999187,-0.0397900007665,0.000530000019353
1591865213112040738,694,1591865213009327888,,0.0445999987423,0.0206599999219,-0.0394599996507,0.00258999993093
1591865213162926041,695,1591865213111721038,,0.105400003493,0.0819199979305,-0.0662100017071,-0.00197999994271
1591865213215217844,696,1591865213162991046,,0.129600003362,0.10882999748,-0.0703800022602,-0.00173999997787
1591865213269940545,697,1591865213214792966,,0.144899994135,0.12392000109,-0.0751100033522,-0.000460000010207
1591865213322070349,698,1591865213269735097,,0.146899998188,0.128209993243,-0.0717900022864,-0.000720000010915
1591865213424681590,699,1591865213321818113,,0.163499996066,0.151490002871,-0.0616099983454,-0.000639999983832
1591865213476450312,700,1591865213424326896,,0.195700004697,0.194739997387,-0.0193700008094,0.000569999974687
1591865213528726192,701,1591865213476491928,,0.20340000093,0.203240007162,-0.00819000042975,-2.99999992421e-05
1591865213580506625,702,1591865213528486013,,0.215599998832,0.215519994497,0.00646999990568,-0.000920000020415
